Model,MAE (mm) ↓,R-L2 (%) ↓,R² Score ↑,Inference (ms) ↓,Params (M) ↓
GCN (Specialist),0.012652938039256977,1372.9712632986216,0.991412878036499,0.002237870389523027,0.051843
GAT (Specialist),0.008788312677867137,551.2314521349393,0.9966465830802917,0.002105816096107106,0.398979
MPNN (Specialist),0.006280981720640109,710.5272788267869,0.9981902837753296,0.0002253224340364206,0.298755
Transformer (specialist),0.004208111025106449,320.4066762557396,0.9992215633392334,0.00033204511348463217,1.579779
U-Net Small + Attn (High-Res),0.00014706379442941397,233.90573799610138,0.9826177954673767,1.5956127643585205,5.624259
